Disease Name,OrphaCode,Disease Category
Deafness-ear malformation-facial palsy syndrome,3232,Rare developmental defect during embryogenesis
Cochleosaccular degeneration-cataract syndrome,3233,Rare developmental defect during embryogenesis
Deafness-craniofacial syndrome,3241,Rare developmental defect during embryogenesis
Hemihyperplasia-multiple lipomatosis syndrome,276280,Rare developmental defect during embryogenesis
Familial multinodular goiter,276399,Rare endocrine disease
Deafness-vitiligo-achalasia syndrome,3239,Rare otorhinolaryngologic disease
Cardiospondylocarpofacial syndrome,3238,Rare developmental defect during embryogenesis
Multiple synostoses syndrome,3237,Rare developmental defect during embryogenesis
Symphalangism with multiple anomalies of hands and feet,3246,Rare developmental defect during embryogenesis
10q22.3q23.3 microdeletion syndrome,276413,Rare developmental defect during embryogenesis
Renpenning syndrome,3242,Rare developmental defect during embryogenesis
Hyperbiliverdinemia,276405,Rare hepatic disease
Proximal symphalangism,3250,Rare developmental defect during embryogenesis
Isolated distal symphalangism,3248,Rare developmental defect during embryogenesis
10q22.3q23.3 microduplication syndrome,276422,Rare developmental defect during embryogenesis
Hypnic headache,276429,Rare neurologic disease
Familial hyperinsulinism,276525,Rare endocrine disease
Filippi syndrome,3255,Rare developmental defect during embryogenesis
Hyperinsulinism due to UCP2 deficiency,276556,Rare inborn errors of metabolism
Ogden syndrome,276432,Rare developmental defect during embryogenesis
Cleft lip/palate-ectodermal dysplasia syndrome,3253,Rare developmental defect during embryogenesis
Lower motor neuron syndrome with late-adult onset,276435,Rare neurologic disease
Combined immunodeficiency due to ZAP70 deficiency,911,Rare immune disease
Heparin-induced thrombocytopenia,3325,Rare hematologic disease
Mitochondrial trifunctional protein deficiency,746,Rare inborn errors of metabolism
Malonic aciduria,943,Rare inborn errors of metabolism
Hereditary methemoglobinemia,621,Rare hematologic disease
Glycogen storage disease due to hepatic glycogen synthase deficiency,2089,Rare inborn errors of metabolism
Dysbetalipoproteinemia,412,Rare endocrine disease
Severe hereditary thrombophilia due to congenital protein S deficiency,743,Rare hematologic disease
Familial hyperthyroidism due to mutations in TSH receptor,424,Rare endocrine disease
Congenital factor II deficiency,325,Rare hematologic disease
Hyperimmunoglobulinemia D with periodic fever,343,Rare immune disease
Immunodeficiency by defective expression of MHC class II,572,Rare immune disease
Familial thrombomodulin anomalies,3324,Rare hematologic disease
Herpes simplex virus encephalitis,1930,Rare infectious disease
Systemic primary carnitine deficiency,158,Rare inborn errors of metabolism
Syndromic microphthalmia-anophthalmia-coloboma,202948,Rare developmental defect during embryogenesis
Anomaly of puberty or/and menstrual cycle of genetic origin,202940,Rare gynecologic or obstetric disease
Essential fructosuria,2056,Rare inborn errors of metabolism
Infantile Krabbe disease,206436,Rare inborn errors of metabolism
Sneddon syndrome,820,Rare systemic or rheumatologic disease
Hypoxanthine-guanine phosphoribosyltransferase deficiency,206428,Rare inborn errors of metabolism
Self-limited epilepsy with centrotemporal spikes,1945,Rare neurologic disease
Succinyl-CoA:3-oxoacid CoA transferase deficiency,832,Rare inborn errors of metabolism
3-methylcrotonyl-CoA carboxylase deficiency,6,Rare inborn errors of metabolism
3-hydroxy-3-methylglutaric aciduria,20,Rare inborn errors of metabolism
Hemolytic anemia due to diphosphoglycerate mutase deficiency,714,Rare hematologic disease
Hemolytic anemia due to glucophosphate isomerase deficiency,712,Rare hematologic disease
"Rhizomelic dysplasia, Patterson-Lowry type",2831,Rare bone disease
Arachnodactyly-abnormal ossification-intellectual disability syndrome,1129,Rare developmental defect during embryogenesis
Symptomatic form of muscular dystrophy of Duchenne and Becker in female carriers,206546,Rare neurologic disease
Cataract-deafness-hypogonadism syndrome,1383,Rare developmental defect during embryogenesis
Malignant non-dysgerminomatous germ cell tumor of ovary,206538,Rare neoplastic disease
Fukutin-related limb-girdle muscular dystrophy R13,206554,Rare neurologic disease
Craniomicromelic syndrome,1524,Rare developmental defect during embryogenesis
Anoctamin-5-related limb-girdle muscular dystrophy R12,206549,Rare neurologic disease
Caudal appendage-deafness syndrome,1123,Rare developmental defect during embryogenesis
POMGNT1-related limb-girdle muscular dystrophy R15,206564,Rare neurologic disease
POMT2-related limb-girdle muscular dystrophy R14,206559,Rare neurologic disease
Overlap myositis,206572,Rare neurologic disease
Syngnathia-cleft palate syndrome,3263,Rare developmental defect during embryogenesis
Immune-mediated necrotizing myopathy,206569,Rare neurologic disease
Autosomal recessive lower motor neuron disease with childhood onset,206580,Rare neurologic disease
Rippling muscle disease with myasthenia gravis,206575,Rare neurologic disease
Late-infantile/juvenile Krabbe disease,206443,Rare inborn errors of metabolism
Von Voss-Cherstvoy syndrome,3439,Rare developmental defect during embryogenesis
Adult Krabbe disease,206448,Rare inborn errors of metabolism
Cystadenoma of childhood,206470,Rare neoplastic disease
Spinal atrophy-ophthalmoplegia-pyramidal syndrome,1217,Rare neurologic disease
Hypomyelination neuropathy-arthrogryposis syndrome,2680,Rare neurologic disease
Gonadoblastoma,206484,Rare neoplastic disease
Diprosopus,1681,Rare developmental defect during embryogenesis
Malignant germ cell tumor of the vagina,206489,Rare neoplastic disease
Vulvovaginal rhabdomyosarcoma,206492,Rare neoplastic disease
Müllerian derivatives-lymphangiectasia-polydactyly syndrome,1655,Rare developmental defect during embryogenesis
Bulbospinal muscular atrophy,206701,Rare neurologic disease
Laron syndrome,633,Rare endocrine disease
Inclusion myopathy,206662,Rare neurologic disease
Kallmann syndrome,478,Rare endocrine disease
Generalized bulbospinal muscular atrophy,206710,Rare neurologic disease
Bulbospinal muscular atrophy of adult,206707,Rare neurologic disease
Hereditary spherocytosis,822,Rare hematologic disease
Xeroderma pigmentosum,910,Rare skin disease
Bulbospinal muscular atrophy of childhood,206704,Rare neurologic disease
Familial aortic dissection,229,Rare circulatory system disease
Mitochondrial myopathy,206966,Rare neurologic disease
Muscular glycogenosis,206959,Rare neurologic disease
X-linked non-syndromic intellectual disability,777,Rare neurologic disease
Muscular lipidosis,206953,Rare neurologic disease
Hemolytic anemia due to red cell pyruvate kinase deficiency,766,Rare hematologic disease
Periodic paralysis,206976,Rare neurologic disease
Vitamin B12-responsive methylmalonic acidemia,28,Rare inborn errors of metabolism
Congenital myotonia,206973,Rare neurologic disease
Myotonic syndrome,206970,Rare neurologic disease
Subacute inflammatory demyelinating polyneuropathy,206594,Rare neurologic disease
Isolated asymptomatic elevation of creatine phosphokinase,206599,Rare neurologic disease
Stüve-Wiedemann syndrome,3206,Rare bone disease
Adult polyglucosan body disease,206583,Rare inborn errors of metabolism
Neurolymphomatosis,206586,Rare neurologic disease
Infectious disease with peripheral neuropathy,206613,Rare infectious disease
Acquired skeletal muscle disease,206638,Rare neurologic disease
Leber congenital amaurosis,65,Rare ophthalmic disorder
Progressive muscular dystrophy,206644,Rare neurologic disease
Genetic skeletal muscle disease,206634,Rare neurologic disease
Autosomal recessive distal myopathy,206653,Rare neurologic disease
Multiple osteochondromas,321,Rare bone disease
Non-dystrophic myopathy,206656,Rare neurologic disease
Lynch syndrome,144,Rare neoplastic disease
Myotonic dystrophy,206647,Rare neurologic disease
Autosomal dominant distal myopathy,206650,Rare neurologic disease
Bardet-Biedl syndrome,110,Rare developmental defect during embryogenesis
Qualitative or quantitative defects of dystrophin,207085,Rare neurologic disease
Qualitative or quantitative defects of collagen 6,207090,Rare neurologic disease
Atypical Rett syndrome,3095,Rare neurologic disease
Laminin subunit alpha 2-related muscular dystrophy,207094,Rare neurologic disease
Kallmann syndrome-heart disease syndrome,2326,Rare developmental defect during embryogenesis
Qualitative or quantitative defects of integrin alpha-7,207098,Rare neurologic disease
Qualitative or quantitative defects of gamma-sarcoglycan,207067,Rare neurologic disease
Arachnodactyly-intellectual disability-dysmorphism syndrome,1130,Rare developmental defect during embryogenesis
Qualitative or quantitative defects of delta-sarcoglycan,207070,Rare neurologic disease
Qualitative or quantitative defects of dysferlin,207073,Rare neurologic disease
Qualitative or quantitative defects of caveolin-3,207078,Rare neurologic disease
White matter hypoplasia-corpus callosum agenesis-intellectual disability syndrome,3207,Rare developmental defect during embryogenesis
Qualitative or quantitative protein defects in neuromuscular diseases,207049,Rare neurologic disease
Qualitative or quantitative defects of sarcoglycan,207052,Rare neurologic disease
Qualitative or quantitative defects of alpha-sarcoglycan,207060,Rare neurologic disease
Qualitative or quantitative defects of beta-sarcoglycan,207063,Rare neurologic disease
Acute and subacute inflammatory demyelinating polyneuropathy,207038,Rare neurologic disease
Fryns-Smeets-Thiry syndrome,2058,Rare developmental defect during embryogenesis
Microgastria-limb reduction defect syndrome,2538,Rare developmental defect during embryogenesis
Atherosclerosis-deafness-diabetes-epilepsy-nephropathy syndrome,1192,Rare circulatory system disease
Malignant lymphoma with peripheral neuropathy,207046,Rare neoplastic disease
Rare hereditary systemic disease with peripheral neuropathy,207021,Rare neurologic disease
Progressive non-infectious anterior vertebral fusion,2062,Rare developmental defect during embryogenesis
Rare hereditary metabolic disease with peripheral neuropathy,207018,Rare neurologic disease
Cleft palate-short stature-vertebral anomalies syndrome,2015,Rare developmental defect during embryogenesis
Cerebellar ataxia with peripheral neuropathy,207028,Rare neurologic disease
Macrocephaly-short stature-paraplegia syndrome,2427,Rare developmental defect during embryogenesis
Rare hereditary neurologic disease with peripheral neuropathy,207025,Rare neurologic disease
X-linked intellectual disability-plagiocephaly syndrome,2898,Rare developmental defect during embryogenesis
Rare hereditary disease with peripheral neuropathy,207015,Rare neurologic disease
Spinal muscular atrophy associated with central nervous system anomaly,207012,Rare neurologic disease
Parasitic myositis,206997,Rare infectious disease
Bacterial myositis,206994,Rare infectious disease
Fungal myositis,207000,Rare infectious disease
Muscular pseudohypertrophy-hypothyroidism syndrome,2349,Rare endocrine disease
Lethal recessive chondrodysplasia,1423,Rare bone disease
Hydrocephalus-obesity-hypogonadism syndrome,2183,Rare developmental defect during embryogenesis
Muscular tumor,206982,Rare neoplastic disease
Viral myositis,206991,Rare infectious disease
"Infectious, fungal or parasitic myopathy",206988,Rare infectious disease
